doc_id,describer,entry,prose
J01,Hosken,1,"entry on the nightjar . bill heavy , culmen slender . plumage above olive , below fulvous . the female above olive , below olive . frequents the scrub of the eastern slope . call a churring note repeated five times . taken in the drought ."
J01,Hosken,2,"entry on the sunbird . bill deep , culmen keeled . plumage above ashen , below dusky . the female above olive , below ochre . frequents the reedbed of the western slope . call a rasping note repeated three times . taken in the rains ."
J01,Hosken,3,"entry on the coucal . bill heavy , culmen ridged . plumage above olive , below rufous . the female above fulvous , below olive . frequents the thicket of the western slope . call a churring note repeated three times . the iris pale in every specimen handled . taken in the rains ."
J01,Hosken,4,"entry on the drongo . bill deep , culmen curved . plumage above olive , below rufous . the female above rufous , below cinereous . frequents the thicket of the southern slope . call a churring note repeated five times . taken in the rains ."
J01,Hosken,5,"entry on the cisticola . bill stout , culmen slender . plumage above olive , below olive . the female above rufous , below olive . frequents the reedbed of the western slope . call a churring note repeated four times . taken in the monsoon ."
J01,Hosken,6,"entry on the bulbul . bill slender , culmen curved . plumage above olive , below ochre . the female above olive , below rufous . frequents the reedbed of the western slope . call a plaintive note repeated six times . the iris pale in every specimen handled . taken in the rains ."
J01,Hosken,7,"entry on the weaver . bill fine , culmen ridged . plumage above olive , below olive . the female above dusky , below olive . frequents the thicket of the southern slope . call a churring note repeated six times . taken in the drought ."
J01,Hosken,8,"entry on the roller . bill deep , culmen curved . plumage above olive , below olive . the female above ashen , below rufous . frequents the canopy of the western slope . call a piping note repeated five times . taken in the monsoon ."
J01,Hosken,9,"entry on the hoopoe . bill deep , culmen curved . plumage above slate , below olive . the female above olive , below olive . frequents the thicket of the western slope . call a liquid note repeated four times . the iris pale in every specimen handled . taken in the rains ."
J01,Hosken,10,"entry on the shrike . bill stout , culmen stout . plumage above olive , below slate . the female above fulvous , below slate . frequents the gallery of the southern slope . call a plaintive note repeated five times . taken in the drought ."
J01,Hosken,11,"entry on the pitta . bill short , culmen straight . plumage above fulvous , below olive . the female above rufous , below olive . frequents the thicket of the southern slope . call a plaintive note repeated six times . taken in the monsoon ."
J01,Hosken,12,"entry on the greenbill . bill stout , culmen curved . plumage above rufous , below olive . the female above slate , below dusky . frequents the thicket of the eastern slope . call a churring note repeated four times . the iris pale in every specimen handled . taken in the rains ."
J01,Hosken,13,"entry on the ashvanga . bill stout , culmen stout . plumage above ashen , below ochre . the female above fulvous , below olive . frequents the reedbed of the eastern slope . call a liquid note repeated six times . taken in the monsoon ."
J01,Hosken,14,"entry on the spurwing . bill slender , culmen straight . plumage above dusky , below dusky . the female above olive , below dusky . frequents the littoral of the eastern slope . call a piping note repeated five times . taken in the drought ."
J01,Hosken,15,"entry on the reedthrush . bill short , culmen ridged . plumage above dusky , below rufous . the female above dusky , below ashen . frequents the canopy of the eastern slope . call a liquid note repeated two times . the iris pale in every specimen handled . taken in the monsoon ."
J02,Vaury,1,"entry on the drongo . bill slender , culmen curved . plumage above ochre , below fulvous . the female above olive , below slate . frequents the gallery of the eastern slope . call a churring note repeated three times . taken in the harvest ."
J02,Vaury,2,"entry on the cisticola . bill fine , culmen curved . plumage above slate , below olive . the female above olive , below rufous . frequents the reedbed of the northern slope . call a churring note repeated two times . taken in the monsoon ."
J02,Vaury,3,"entry on the bulbul . bill slender , culmen notched . plumage above olive , below rufous . the female above olive , below olive . frequents the gallery of the western slope . call a churring note repeated six times . no bird of this kind sings before the second light . taken in the monsoon ."
J02,Vaury,4,"entry on the weaver . bill deep , culmen straight . plumage above olive , below olive . the female above ochre , below dusky . frequents the canopy of the northern slope . call a rasping note repeated three times . taken in the rains ."
J02,Vaury,5,"entry on the roller . bill fine , culmen curved . plumage above olive , below olive . the female above ashen , below ochre . frequents the gallery of the southern slope . call a piping note repeated four times . taken in the monsoon ."
J02,Vaury,6,"entry on the hoopoe . bill slender , culmen stout . plumage above ashen , below rufous . the female above olive , below slate . frequents the canopy of the northern slope . call a rasping note repeated two times . no bird of this kind sings before the second light . taken in the harvest ."
J02,Vaury,7,"entry on the shrike . bill stout , culmen curved . plumage above olive , below ashen . the female above rufous , below olive . frequents the reedbed of the northern slope . call a rasping note repeated two times . taken in the monsoon ."
J02,Vaury,8,"entry on the pitta . bill fine , culmen curved . plumage above ashen , below ashen . the female above dusky , below olive . frequents the littoral of the southern slope . call a piping note repeated five times . taken in the drought ."
J02,Vaury,9,"entry on the greenbill . bill fine , culmen curved . plumage above ochre , below cinereous . the female above olive , below fulvous . frequents the thicket of the eastern slope . call a liquid note repeated six times . no bird of this kind sings before the second light . taken in the monsoon ."
J02,Vaury,10,"entry on the ashvanga . bill short , culmen slender . plumage above olive , below olive . the female above ashen , below slate . frequents the canopy of the western slope . call a piping note repeated four times . taken in the rains ."
J02,Vaury,11,"entry on the spurwing . bill slender , culmen curved . plumage above dusky , below olive . the female above olive , below slate . frequents the scrub of the eastern slope . call a piping note repeated four times . taken in the drought ."
J02,Vaury,12,"entry on the reedthrush . bill deep , culmen keeled . plumage above olive , below olive . the female above olive , below dusky . frequents the canopy of the southern slope . call a churring note repeated two times . no bird of this kind sings before the second light . taken in the drought ."
J02,Vaury,13,"entry on the nightjar . bill heavy , culmen stout . plumage above olive , below ashen . the female above olive , below dusky . frequents the canopy of the northern slope . call a plaintive note repeated two times . taken in the drought ."
J02,Vaury,14,"entry on the sunbird . bill deep , culmen curved . plumage above olive , below slate . the female above olive , below dusky . frequents the littoral of the western slope . call a piping note repeated three times . taken in the rains ."
J02,Vaury,15,"entry on the coucal . bill stout , culmen straight . plumage above olive , below rufous . the female above fulvous , below dusky . frequents the reedbed of the eastern slope . call a churring note repeated six times . no bird of this kind sings before the second light . taken in the rains ."
J03,Lemercier,1,"entry on the weaver . bill heavy , culmen curved . plumage above ashen , below ochre . the female above olive , below olive . frequents the gallery of the eastern slope . call a churring note repeated two times . taken in the rains ."
J03,Lemercier,2,"entry on the roller . bill fine , culmen curved . plumage above olive , below ochre . the female above ashen , below olive . frequents the reedbed of the western slope . call a churring note repeated two times . taken in the rains ."
J03,Lemercier,3,"entry on the hoopoe . bill deep , culmen stout . plumage above dusky , below rufous . the female above ochre , below rufous . frequents the gallery of the western slope . call a plaintive note repeated three times . the tail feathers wear square against the wind . taken in the drought ."
J03,Lemercier,4,"entry on the shrike . bill stout , culmen curved . plumage above ochre , below dusky . the female above olive , below ashen . frequents the thicket of the eastern slope . call a piping note repeated six times . taken in the monsoon ."
J03,Lemercier,5,"entry on the pitta . bill slender , culmen straight . plumage above olive , below olive . the female above fulvous , below slate . frequents the thicket of the eastern slope . call a rasping note repeated six times . taken in the drought ."
J03,Lemercier,6,"entry on the greenbill . bill slender , culmen notched . plumage above dusky , below olive . the female above rufous , below rufous . frequents the gallery of the southern slope . call a churring note repeated two times . the tail feathers wear square against the wind . taken in the rains ."
J03,Lemercier,7,"entry on the ashvanga . bill short , culmen notched . plumage above ashen , below olive . the female above dusky , below slate . frequents the scrub of the western slope . call a liquid note repeated five times . taken in the harvest ."
J03,Lemercier,8,"entry on the spurwing . bill stout , culmen keeled . plumage above dusky , below cinereous . the female above ashen , below olive . frequents the thicket of the western slope . call a rasping note repeated four times . taken in the rains ."
J03,Lemercier,9,"entry on the reedthrush . bill short , culmen curved . plumage above slate , below olive . the female above olive , below ashen . frequents the canopy of the southern slope . call a piping note repeated six times . the tail feathers wear square against the wind . taken in the monsoon ."
J03,Lemercier,10,"entry on the nightjar . bill short , culmen curved . plumage above slate , below ashen . the female above olive , below olive . frequents the gallery of the eastern slope . call a liquid note repeated six times . taken in the harvest ."
J03,Lemercier,11,"entry on the sunbird . bill heavy , culmen straight . plumage above ashen , below dusky . the female above rufous , below olive . frequents the scrub of the northern slope . call a churring note repeated four times . taken in the drought ."
J03,Lemercier,12,"entry on the coucal . bill short , culmen curved . plumage above olive , below ochre . the female above slate , below rufous . frequents the reedbed of the western slope . call a churring note repeated four times . the tail feathers wear square against the wind . taken in the rains ."
J03,Lemercier,13,"entry on the drongo . bill fine , culmen curved . plumage above cinereous , below olive . the female above slate , below dusky . frequents the canopy of the eastern slope . call a piping note repeated five times . taken in the drought ."
J03,Lemercier,14,"entry on the cisticola . bill heavy , culmen straight . plumage above ochre , below slate . the female above cinereous , below olive . frequents the reedbed of the eastern slope . call a liquid note repeated four times . taken in the monsoon ."
J03,Lemercier,15,"entry on the bulbul . bill deep , culmen curved . plumage above olive , below olive . the female above olive , below rufous . frequents the thicket of the western slope . call a liquid note repeated six times . the tail feathers wear square against the wind . taken in the rains ."
J04,Brandt,1,"entry on the shrike . bill slender , culmen slender . plumage above slate , below dusky . the female above olive , below dusky . frequents the canopy of the southern slope . call a churring note repeated three times . taken in the rains ."
J04,Brandt,2,"entry on the pitta . bill short , culmen curved . plumage above olive , below rufous . the female above cinereous , below rufous . frequents the scrub of the northern slope . call a piping note repeated two times . taken in the monsoon ."
J04,Brandt,3,"entry on the greenbill . bill slender , culmen curved . plumage above dusky , below dusky . the female above olive , below olive . frequents the reedbed of the western slope . call a plaintive note repeated four times . a musk upon the skin that soap will not lift . taken in the rains ."
J04,Brandt,4,"entry on the ashvanga . bill slender , culmen straight . plumage above rufous , below olive . the female above olive , below olive . frequents the gallery of the eastern slope . call a plaintive note repeated six times . taken in the harvest ."
J04,Brandt,5,"entry on the spurwing . bill fine , culmen slender . plumage above slate , below olive . the female above olive , below dusky . frequents the thicket of the northern slope . call a rasping note repeated five times . taken in the monsoon ."
J04,Brandt,6,"entry on the reedthrush . bill stout , culmen straight . plumage above ashen , below rufous . the female above dusky , below olive . frequents the scrub of the western slope . call a piping note repeated six times . a musk upon the skin that soap will not lift . taken in the drought ."
J04,Brandt,7,"entry on the nightjar . bill slender , culmen straight . plumage above slate , below olive . the female above olive , below dusky . frequents the gallery of the eastern slope . call a piping note repeated four times . taken in the monsoon ."
J04,Brandt,8,"entry on the sunbird . bill short , culmen curved . plumage above dusky , below dusky . the female above dusky , below cinereous . frequents the reedbed of the eastern slope . call a liquid note repeated four times . taken in the drought ."
J04,Brandt,9,"entry on the coucal . bill stout , culmen straight . plumage above cinereous , below cinereous . the female above olive , below olive . frequents the gallery of the southern slope . call a liquid note repeated five times . a musk upon the skin that soap will not lift . taken in the monsoon ."
J04,Brandt,10,"entry on the drongo . bill slender , culmen keeled . plumage above fulvous , below rufous . the female above olive , below slate . frequents the canopy of the eastern slope . call a churring note repeated three times . taken in the drought ."
J04,Brandt,11,"entry on the cisticola . bill deep , culmen curved . plumage above rufous , below ochre . the female above rufous , below slate . frequents the canopy of the western slope . call a rasping note repeated four times . taken in the harvest ."
J04,Brandt,12,"entry on the bulbul . bill fine , culmen keeled . plumage above slate , below ochre . the female above fulvous , below olive . frequents the thicket of the eastern slope . call a plaintive note repeated two times . a musk upon the skin that soap will not lift . taken in the drought ."
J04,Brandt,13,"entry on the weaver . bill heavy , culmen curved . plumage above olive , below rufous . the female above olive , below slate . frequents the canopy of the western slope . call a rasping note repeated two times . taken in the monsoon ."
J04,Brandt,14,"entry on the roller . bill short , culmen straight . plumage above rufous , below ochre . the female above ashen , below olive . frequents the reedbed of the northern slope . call a piping note repeated five times . taken in the drought ."
J04,Brandt,15,"entry on the hoopoe . bill deep , culmen keeled . plumage above rufous , below cinereous . the female above olive , below olive . frequents the thicket of the southern slope . call a piping note repeated five times . a musk upon the skin that soap will not lift . taken in the monsoon ."
J05,Sarre,1,"entry on the ashvanga . bill slender , culmen stout . plumage above olive , below olive . the female above ochre , below fulvous . frequents the thicket of the western slope . call a churring note repeated three times . taken in the monsoon ."
J05,Sarre,2,"entry on the spurwing . bill stout , culmen curved . plumage above olive , below cinereous . the female above olive , below slate . frequents the gallery of the southern slope . call a piping note repeated four times . taken in the harvest ."
J05,Sarre,3,"entry on the reedthrush . bill slender , culmen ridged . plumage above ochre , below olive . the female above fulvous , below fulvous . frequents the canopy of the northern slope . call a plaintive note repeated six times . the feet warm to the touch long after death . taken in the rains ."
J05,Sarre,4,"entry on the nightjar . bill stout , culmen curved . plumage above ashen , below olive . the female above olive , below dusky . frequents the littoral of the eastern slope . call a churring note repeated three times . taken in the drought ."
J05,Sarre,5,"entry on the sunbird . bill deep , culmen curved . plumage above olive , below ashen . the female above olive , below cinereous . frequents the thicket of the southern slope . call a liquid note repeated three times . taken in the drought ."
J05,Sarre,6,"entry on the coucal . bill stout , culmen curved . plumage above rufous , below ochre . the female above ochre , below olive . frequents the scrub of the eastern slope . call a liquid note repeated four times . the feet warm to the touch long after death . taken in the monsoon ."
J05,Sarre,7,"entry on the drongo . bill slender , culmen notched . plumage above olive , below olive . the female above slate , below fulvous . frequents the thicket of the northern slope . call a churring note repeated three times . taken in the rains ."
J05,Sarre,8,"entry on the cisticola . bill slender , culmen straight . plumage above olive , below olive . the female above olive , below rufous . frequents the scrub of the western slope . call a piping note repeated two times . taken in the drought ."
J05,Sarre,9,"entry on the bulbul . bill stout , culmen curved . plumage above olive , below olive . the female above fulvous , below olive . frequents the reedbed of the southern slope . call a liquid note repeated five times . the feet warm to the touch long after death . taken in the drought ."
J05,Sarre,10,"entry on the weaver . bill stout , culmen slender . plumage above ashen , below olive . the female above ochre , below rufous . frequents the scrub of the eastern slope . call a churring note repeated five times . taken in the monsoon ."
J05,Sarre,11,"entry on the roller . bill short , culmen straight . plumage above olive , below slate . the female above olive , below olive . frequents the littoral of the western slope . call a churring note repeated five times . taken in the rains ."
J05,Sarre,12,"entry on the hoopoe . bill deep , culmen straight . plumage above fulvous , below olive . the female above olive , below slate . frequents the scrub of the western slope . call a piping note repeated four times . the feet warm to the touch long after death . taken in the drought ."
J05,Sarre,13,"entry on the shrike . bill short , culmen curved . plumage above rufous , below ochre . the female above dusky , below olive . frequents the littoral of the northern slope . call a churring note repeated three times . taken in the drought ."
J05,Sarre,14,"entry on the pitta . bill stout , culmen flattened . plumage above ashen , below olive . the female above olive , below olive . frequents the reedbed of the eastern slope . call a rasping note repeated two times . taken in the monsoon ."
J05,Sarre,15,"entry on the greenbill . bill heavy , culmen slender . plumage above olive , below ochre . the female above olive , below dusky . frequents the canopy of the eastern slope . call a piping note repeated five times . the feet warm to the touch long after death . taken in the rains ."
J06,Ferreyra,1,"entry on the nightjar . bill fine , culmen curved . plumage above olive , below olive . the female above olive , below ochre . frequents the canopy of the northern slope . call a rasping note repeated four times . taken in the rains ."
J06,Ferreyra,2,"entry on the sunbird . bill slender , culmen slender . plumage above olive , below dusky . the female above rufous , below olive . frequents the littoral of the western slope . call a churring note repeated five times . taken in the monsoon ."
J06,Ferreyra,3,"entry on the coucal . bill slender , culmen curved . plumage above olive , below rufous . the female above dusky , below dusky . frequents the reedbed of the northern slope . call a churring note repeated three times . the young beg with the throat and not the wing . taken in the monsoon ."
J06,Ferreyra,4,"entry on the drongo . bill slender , culmen ridged . plumage above cinereous , below olive . the female above ashen , below olive . frequents the gallery of the western slope . call a plaintive note repeated two times . taken in the rains ."
J06,Ferreyra,5,"entry on the cisticola . bill stout , culmen curved . plumage above olive , below dusky . the female above ashen , below olive . frequents the canopy of the western slope . call a rasping note repeated four times . taken in the harvest ."
J06,Ferreyra,6,"entry on the bulbul . bill fine , culmen curved . plumage above olive , below cinereous . the female above cinereous , below olive . frequents the reedbed of the northern slope . call a churring note repeated four times . the young beg with the throat and not the wing . taken in the harvest ."
J06,Ferreyra,7,"entry on the weaver . bill short , culmen curved . plumage above slate , below olive . the female above dusky , below ashen . frequents the canopy of the eastern slope . call a liquid note repeated two times . taken in the harvest ."
J06,Ferreyra,8,"entry on the roller . bill slender , culmen curved . plumage above rufous , below rufous . the female above rufous , below dusky . frequents the littoral of the eastern slope . call a rasping note repeated six times . taken in the monsoon ."
J06,Ferreyra,9,"entry on the hoopoe . bill fine , culmen curved . plumage above ashen , below rufous . the female above dusky , below ashen . frequents the canopy of the southern slope . call a rasping note repeated three times . the young beg with the throat and not the wing . taken in the rains ."
J06,Ferreyra,10,"entry on the shrike . bill fine , culmen slender . plumage above rufous , below cinereous . the female above olive , below olive . frequents the canopy of the southern slope . call a churring note repeated three times . taken in the harvest ."
J06,Ferreyra,11,"entry on the pitta . bill slender , culmen curved . plumage above slate , below dusky . the female above fulvous , below dusky . frequents the canopy of the eastern slope . call a rasping note repeated six times . taken in the drought ."
J06,Ferreyra,12,"entry on the greenbill . bill deep , culmen straight . plumage above rufous , below ashen . the female above fulvous , below ochre . frequents the thicket of the northern slope . call a churring note repeated five times . the young beg with the throat and not the wing . taken in the rains ."
J06,Ferreyra,13,"entry on the ashvanga . bill stout , culmen curved . plumage above olive , below slate . the female above olive , below ochre . frequents the reedbed of the northern slope . call a liquid note repeated six times . taken in the drought ."
J06,Ferreyra,14,"entry on the spurwing . bill fine , culmen straight . plumage above dusky , below slate . the female above olive , below dusky . frequents the scrub of the northern slope . call a rasping note repeated three times . taken in the harvest ."
J06,Ferreyra,15,"entry on the reedthrush . bill fine , culmen curved . plumage above slate , below olive . the female above rufous , below ashen . frequents the thicket of the southern slope . call a piping note repeated five times . the young beg with the throat and not the wing . taken in the rains ."
J07,Whitlock,1,"entry on the drongo . bill deep , culmen straight . plumage above rufous , below ashen . the female above fulvous , below olive . frequents the thicket of the northern slope . call a plaintive note repeated two times . taken in the monsoon ."
J07,Whitlock,2,"entry on the cisticola . bill stout , culmen straight . plumage above olive , below fulvous . the female above dusky , below olive . frequents the scrub of the southern slope . call a liquid note repeated two times . taken in the rains ."
J07,Whitlock,3,"entry on the bulbul . bill stout , culmen curved . plumage above rufous , below olive . the female above dusky , below ashen . frequents the gallery of the western slope . call a piping note repeated two times . it will not cross open water even when driven . taken in the monsoon ."
J07,Whitlock,4,"entry on the weaver . bill fine , culmen curved . plumage above dusky , below cinereous . the female above olive , below cinereous . frequents the thicket of the northern slope . call a churring note repeated five times . taken in the harvest ."
J07,Whitlock,5,"entry on the roller . bill slender , culmen stout . plumage above rufous , below rufous . the female above slate , below ashen . frequents the scrub of the southern slope . call a piping note repeated four times . taken in the rains ."
J07,Whitlock,6,"entry on the hoopoe . bill slender , culmen curved . plumage above olive , below rufous . the female above dusky , below ashen . frequents the gallery of the western slope . call a rasping note repeated three times . it will not cross open water even when driven . taken in the monsoon ."
J07,Whitlock,7,"entry on the shrike . bill short , culmen curved . plumage above olive , below cinereous . the female above olive , below olive . frequents the canopy of the northern slope . call a rasping note repeated three times . taken in the drought ."
J07,Whitlock,8,"entry on the pitta . bill stout , culmen ridged . plumage above slate , below olive . the female above ashen , below rufous . frequents the canopy of the northern slope . call a rasping note repeated three times . taken in the monsoon ."
J07,Whitlock,9,"entry on the greenbill . bill short , culmen curved . plumage above ashen , below olive . the female above olive , below slate . frequents the thicket of the western slope . call a rasping note repeated six times . it will not cross open water even when driven . taken in the monsoon ."
J07,Whitlock,10,"entry on the ashvanga . bill slender , culmen straight . plumage above fulvous , below rufous . the female above ashen , below ochre . frequents the reedbed of the northern slope . call a churring note repeated six times . taken in the rains ."
J07,Whitlock,11,"entry on the spurwing . bill stout , culmen stout . plumage above olive , below ochre . the female above olive , below dusky . frequents the canopy of the western slope . call a churring note repeated three times . taken in the drought ."
J07,Whitlock,12,"entry on the reedthrush . bill deep , culmen keeled . plumage above olive , below slate . the female above olive , below slate . frequents the gallery of the northern slope . call a piping note repeated two times . it will not cross open water even when driven . taken in the rains ."
J07,Whitlock,13,"entry on the nightjar . bill slender , culmen keeled . plumage above ochre , below slate . the female above olive , below ochre . frequents the littoral of the eastern slope . call a piping note repeated two times . taken in the rains ."
J07,Whitlock,14,"entry on the sunbird . bill slender , culmen notched . plumage above olive , below slate . the female above dusky , below slate . frequents the canopy of the southern slope . call a piping note repeated five times . taken in the monsoon ."
J07,Whitlock,15,"entry on the coucal . bill deep , culmen flattened . plumage above olive , below slate . the female above olive , below slate . frequents the gallery of the northern slope . call a rasping note repeated four times . it will not cross open water even when driven . taken in the harvest ."
J08,Duguid,1,"entry on the weaver . bill stout , culmen slender . plumage above rufous , below ashen . the female above rufous , below rufous . frequents the canopy of the southern slope . call a plaintive note repeated two times . taken in the harvest ."
J08,Duguid,2,"entry on the roller . bill deep , culmen keeled . plumage above ashen , below olive . the female above olive , below rufous . frequents the scrub of the western slope . call a rasping note repeated two times . taken in the harvest ."
J08,Duguid,3,"entry on the hoopoe . bill deep , culmen curved . plumage above olive , below olive . the female above olive , below slate . frequents the thicket of the eastern slope . call a piping note repeated five times . the nest is lined with the down of another bird . taken in the rains ."
J08,Duguid,4,"entry on the shrike . bill short , culmen curved . plumage above cinereous , below rufous . the female above olive , below olive . frequents the thicket of the northern slope . call a churring note repeated four times . taken in the harvest ."
J08,Duguid,5,"entry on the pitta . bill stout , culmen curved . plumage above slate , below olive . the female above olive , below olive . frequents the reedbed of the western slope . call a churring note repeated two times . taken in the drought ."
J08,Duguid,6,"entry on the greenbill . bill heavy , culmen straight . plumage above ochre , below olive . the female above ochre , below ashen . frequents the reedbed of the western slope . call a piping note repeated six times . the nest is lined with the down of another bird . taken in the rains ."
J08,Duguid,7,"entry on the ashvanga . bill slender , culmen stout . plumage above olive , below dusky . the female above olive , below rufous . frequents the scrub of the eastern slope . call a rasping note repeated six times . taken in the harvest ."
J08,Duguid,8,"entry on the spurwing . bill stout , culmen curved . plumage above fulvous , below slate . the female above cinereous , below dusky . frequents the scrub of the northern slope . call a rasping note repeated two times . taken in the drought ."
J08,Duguid,9,"entry on the reedthrush . bill stout , culmen curved . plumage above dusky , below olive . the female above cinereous , below olive . frequents the littoral of the northern slope . call a churring note repeated four times . the nest is lined with the down of another bird . taken in the rains ."
J08,Duguid,10,"entry on the nightjar . bill heavy , culmen curved . plumage above ochre , below fulvous . the female above olive , below ochre . frequents the gallery of the western slope . call a piping note repeated five times . taken in the drought ."
J08,Duguid,11,"entry on the sunbird . bill fine , culmen flattened . plumage above slate , below olive . the female above olive , below rufous . frequents the scrub of the eastern slope . call a piping note repeated five times . taken in the drought ."
J08,Duguid,12,"entry on the coucal . bill heavy , culmen curved . plumage above ochre , below fulvous . the female above olive , below olive . frequents the reedbed of the eastern slope . call a churring note repeated five times . the nest is lined with the down of another bird . taken in the harvest ."
J08,Duguid,13,"entry on the drongo . bill deep , culmen curved . plumage above dusky , below dusky . the female above rufous , below olive . frequents the scrub of the eastern slope . call a piping note repeated three times . taken in the rains ."
J08,Duguid,14,"entry on the cisticola . bill fine , culmen curved . plumage above fulvous , below ochre . the female above dusky , below olive . frequents the thicket of the western slope . call a churring note repeated four times . taken in the monsoon ."
J08,Duguid,15,"entry on the bulbul . bill fine , culmen slender . plumage above rufous , below olive . the female above olive , below olive . frequents the reedbed of the southern slope . call a liquid note repeated two times . the nest is lined with the down of another bird . taken in the harvest ."
